regiao,uf,municipio,cod_municipio,total_matriculas,matriculas_federal,matriculas_estadual,matriculas_municipal,matriculas_privada,ano,fonte,pct_publica,pct_privada
Sudeste,São Paulo,, ,10029069,17745,3648576,3781306,2415445,2022,INEP — Sinopse Estatística da Educação Básica,74.3,24.1
Sul,Paraná,, ,2482415,14350,909620,1003347,441212,2022,INEP — Sinopse Estatística da Educação Básica,77.6,17.8
Sul,Santa Catarina,, ,1692795,18178,507839,771289,292733,2022,INEP — Sinopse Estatística da Educação Básica,76.6,17.3
Sul,Rio Grande do Sul,, ,2266494,21845,732747,893005,457895,2022,INEP — Sinopse Estatística da Educação Básica,72.7,20.2
Centro-Oeste,Mato Grosso do Sul,, ,667842,5870,180796,325259,98205,2022,INEP — Sinopse Estatística da Educação Básica,76.7,14.7
Centro-Oeste,Mato Grosso,, ,892534,6595,321339,354985,104892,2022,INEP — Sinopse Estatística da Educação Básica,76.5,11.8
Centro-Oeste,Goiás,, ,1438877,7615,465970,649803,268523,2022,INEP — Sinopse Estatística da Educação Básica,78.1,18.7
Centro-Oeste,Distrito Federal,, ,643698,7305,416877,0,194094,2022,INEP — Sinopse Estatística da Educação Básica,65.9,30.2
Norte,Rondônia,, ,388322,4118,167567,130983,41333,2023,INEP — Sinopse Estatística da Educação Básica,77.9,10.6
Norte,Acre,, ,253918,2778,101292,61553,14848,2023,INEP — Sinopse Estatística da Educação Básica,65.2,5.8
Norte,Amazonas,, ,1149598,9559,375318,404983,95902,2023,INEP — Sinopse Estatística da Educação Básica,68.7,8.3
Norte,Roraima,, ,180965,2279,52852,66586,15572,2023,INEP — Sinopse Estatística da Educação Básica,67.3,8.6
Norte,Pará,, ,2204948,14327,411928,870448,242711,2023,INEP — Sinopse Estatística da Educação Básica,58.8,11.0
Norte,Amapá,, ,213345,2205,84730,63009,22832,2023,INEP — Sinopse Estatística da Educação Básica,70.3,10.7
Norte,Tocantins,, ,385207,3036,126822,175992,38280,2023,INEP — Sinopse Estatística da Educação Básica,79.4,9.9
